algorithm,parameters,run_number,final_score,runtime_seconds,iterations,num_evaluations,evals_per_second,best_found_at_iteration,best_found_at_time,orders_completed,completion_rate
GreedySpatialClustering,{},1,70837,4.427842855453491,1,0,0.0,0,4.427842855453491,,
GreedyPriorityBased,{},1,71800,0.09272885322570801,1,0,0.0,0,0.09272885322570801,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",1,71744,64.22027349472046,8,0,0.0,7,63.90070629119873,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",2,71754,61.931846618652344,7,0,0.0,6,53.99979782104492,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",3,71747,62.91150641441345,8,0,0.0,7,62.53785681724548,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",4,71731,65.3337755203247,7,0,0.0,1,65.07085490226746,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",5,71757,74.15559983253479,6,0,0.0,5,73.31281518936157,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",1,71751,60.558603286743164,7,0,0.0,6,60.47980284690857,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",2,71685,62.026007413864136,8,0,0.0,7,61.947012186050415,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",3,71686,62.16788911819458,7,0,0.0,6,62.08656620979309,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",4,71599,60.53065490722656,6,0,0.0,5,60.429240226745605,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",5,71580,65.4881181716919,6,0,0.0,5,65.3887255191803,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",1,71746,61.77909708023071,6,0,0.0,5,0.7994463443756104,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",2,71655,66.73369646072388,3,0,0.0,15,2.213810682296753,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",3,71745,66.49387192726135,2,0,0.0,1,0.7669887542724609,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",4,71798,63.499144554138184,9,0,0.0,30,5.418351173400879,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",5,71671,63.99500608444214,18,0,0.0,320,39.04823088645935,,
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.98, 'iterations_per_temp': 40, 'min_temp': 1, 'time_limit': 60}",1,71705,65.70441389083862,27,0,0.0,92,10.497027397155762,,
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.98, 'iterations_per_temp': 40, 'min_temp': 1, 'time_limit': 60}",2,71732,62.509265422821045,1,0,0.0,8,2.2825124263763428,,
