algorithm,parameters,run_number,final_score,runtime_seconds,iterations,num_evaluations,evals_per_second,best_found_at_iteration,best_found_at_time,orders_completed,completion_rate
GreedySpatialClustering,{},1,81687,8.88998031616211,1,0,0.0,0,8.88998031616211,,
GreedyPriorityBased,{},1,89157,0.24257111549377441,1,0,0.0,0,0.24257111549377441,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",1,88718,67.24761962890625,3,0,0.0,2,66.36144709587097,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",2,88906,66.00984597206116,3,0,0.0,2,65.12729716300964,,
HillClimbing,"{'max_iterations': 250, 'restarts': 5, 'time_limit': 60}",3,88784,72.83952450752258,3,0,0.0,2,71.97531819343567,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",1,88455,71.67645049095154,3,0,0.0,2,71.46305418014526,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",2,88472,71.13211607933044,3,0,0.0,2,70.89466404914856,,
HillClimbing,"{'max_iterations': 500, 'restarts': 2, 'time_limit': 60}",3,88180,65.60302352905273,3,0,0.0,2,65.39450669288635,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",1,88628,63.107441425323486,7,0,0.0,61,18.730253219604492,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",2,88856,60.17868256568909,20,0,0.0,176,43.98694133758545,,
SimulatedAnnealing,"{'initial_temp': 10000, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'min_temp': 1, 'time_limit': 60}",3,88798,71.41322946548462,7,0,0.0,28,6.364417552947998,,
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.98, 'iterations_per_temp': 40, 'min_temp': 1, 'time_limit': 60}",1,88811,66.42074799537659,21,0,0.0,239,66.41940021514893,,
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.98, 'iterations_per_temp': 40, 'min_temp': 1, 'time_limit': 60}",2,88711,64.13723659515381,16,0,0.0,26,6.02977728843689,,
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.98, 'iterations_per_temp': 40, 'min_temp': 1, 'time_limit': 60}",3,88373,60.18128728866577,14,0,0.0,161,35.07529878616333,,
TabuSearch,"{'tabu_tenure': 20, 'max_iterations': 5000, 'neighborhood_size': 50, 'time_limit': 60}",1,88696,63.74556064605713,6,0,0.0,5,63.74220585823059,,
TabuSearch,"{'tabu_tenure': 20, 'max_iterations': 5000, 'neighborhood_size': 50, 'time_limit': 60}",2,88895,66.07832455635071,6,0,0.0,5,66.07689166069031,,
TabuSearch,"{'tabu_tenure': 20, 'max_iterations': 5000, 'neighborhood_size': 50, 'time_limit': 60}",3,88888,64.8360071182251,4,0,0.0,3,64.83257150650024,,
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",1,89189,64.81999707221985,9,0,0.0,8,64.81890916824341,,
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",2,88928,63.039745569229126,9,0,0.0,8,63.038464307785034,,
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",3,88639,60.83001232147217,7,0,0.0,6,60.82828712463379,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",1,0,0.0005910396575927734,0,0,0.0,0,0.0005910396575927734,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",2,0,0.0004267692565917969,0,0,0.0,0,0.0004267692565917969,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",3,0,0.00030112266540527344,0,0,0.0,0,0.00030112266540527344,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",1,0,0.00023221969604492188,0,0,0.0,0,0.00023221969604492188,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",2,0,0.00021505355834960938,0,0,0.0,0,0.00021505355834960938,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",3,0,0.0002110004425048828,0,0,0.0,0,0.0002110004425048828,,
